question_id,source_tex_file,source_question_number,topic,subtopic,difficulty,practice_level,question_type,parse_status,missing_options,missing_solution,student_visible
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q001,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,1,Arithmetic,Time,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q002,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,2,Arithmetic,Mixtures and Replacement,Very Hard,Advanced,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q003,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,3,Arithmetic,Time and Work,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q004,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,4,Arithmetic,Profit,Medium-Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q005,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,5,Arithmetic,Averages and Ratios,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q006,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,6,Algebra,Functional Equations,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q007,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,7,Algebra,Logarithms,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q008,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,8,Algebra,Inequalities with Constraints,Very Hard,Advanced,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q009,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,9,Algebra,Quadratic Equations,Medium-Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q010,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,10,Number System,Remainders / CRT,Very Hard,Advanced,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q011,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,11,Number System,Divisibility and Inclusion--Exclusion,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q012,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,12,Number System,Digits and Divisibility,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q013,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,13,Geometry,Triangles,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q014,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,14,Mensuration,Circles and Tangents,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q015,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,15,Geometry,Coordinate Geometry and Optimisation,Very Hard,Advanced,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q001,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,1,Arithmetic,Profit & Loss,Medium-Hard,Intermediate,MCQ,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q002,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,2,Arithmetic,Time & Work / Pipes,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q003,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,3,Arithmetic,Time,Hard,Intermediate,MCQ,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q004,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,4,Arithmetic,Mixtures & Alligation,Medium-Hard,Intermediate,MCQ,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q005,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,5,Arithmetic,Time & Work,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q006,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,6,Algebra,Quadratics / Integer feasibility,Hard,Intermediate,MCQ,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q007,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,7,Algebra,Inequalities with parameter,Hard,Intermediate,MCQ,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q008,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,8,Algebra,Functional equations,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q009,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,9,Algebra,Symmetric polynomials / Optimisation,Very Hard,Advanced,MCQ,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q010,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,10,Number System,Divisibility,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q011,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,11,Number System,Remainders / CRT,Medium-Hard,Intermediate,MCQ,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q012,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,12,Number System,Base representation / Factorials,Hard,Intermediate,MCQ,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q013,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,13,Geometry,Triangles / Cevians,Hard,Intermediate,MCQ,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q014,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,14,Geometry,Triangle / Incircle,Very Hard,Advanced,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q015,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,15,Mensuration,Cone & inscribed spheres,Very Hard,Advanced,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q001,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,1,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q002,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,2,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q003,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,3,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q004,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,4,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q005,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,5,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q006,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,6,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q007,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,7,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q008,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,8,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q009,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,9,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q010,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,10,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q011,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,11,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q012,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,12,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q013,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,13,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q014,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,14,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q015,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,15,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q016,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,16,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q017,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,17,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q018,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,18,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q019,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,19,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_1_DZ42F_Q020,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,20,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q001,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,1,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q002,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,2,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q003,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,3,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q004,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,4,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q005,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,5,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q006,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,6,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q007,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,7,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q008,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,8,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q009,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,9,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q010,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,10,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q011,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,11,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q012,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,12,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q013,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,13,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q014,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,14,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q015,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,15,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q016,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,16,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q017,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,17,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q018,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,18,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q019,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,19,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_MODERN_MATH_PRACTICE_BANK_EEWTC_Q020,content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,20,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_QUANT_HIGH_LEVEL_PRACTICE_POOL_4NG28_Q001,content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,1,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_QUANT_HIGH_LEVEL_PRACTICE_POOL_4NG28_Q002,content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,2,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_QUANT_HIGH_LEVEL_PRACTICE_POOL_4NG28_Q003,content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,3,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_QUANT_HIGH_LEVEL_PRACTICE_POOL_4NG28_Q004,content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,4,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_QUANT_HIGH_LEVEL_PRACTICE_POOL_4NG28_Q005,content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,5,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_QUANT_HIGH_LEVEL_PRACTICE_POOL_4NG28_Q006,content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,6,CAT Quant,Mixed,Unmapped,Beginner,TITA,full_parse,false,false,true
